"borough","business","stars","plus_code","address","latitude","longitude"
"Bell Medipharm","Bell Medipharmacy",3.3,"H346+36","995 Romford Rd, London E12 5J",NA,NA
"Blakeberry Pharmacy - 96 High Street So","Blakeberry Pharmacy - 96 High Street South",3,"G3G4+RC","96 High St S, London E6 3R",NA,NA
"Tesco Pharm","Tesco Pharmacy",4.7,"H58R+8M","300 Hornchurch Rd, Hornchurch RM11 1P",NA,NA
"Woodgrange Pharmacy Travel Clinic & Weight Loss Cen","Woodgrange Pharmacy Travel Clinic & Weight Loss Centre",4.5,"H22G+G5","116 Woodgrange Rd, London E7 0E",NA,NA
"Manor Park Pharm","Manor Park Pharmacy",4.9,"H22W+7Q","683 Romford Rd, London E12 5A",NA,NA
"Manor Park Pharm","Manor Park Pharmacy",4.9,"H22W+7Q","683 Romford Rd, London E12 5A",NA,NA
"Britannia Pharm","Britannia Pharmacy",3.8,"H3CW+R4","265 Aldborough Rd. S, Ilford IG3 8J",NA,NA
"Day Lewis Pharmacy Rainham, Rainham R","Day Lewis Pharmacy Rainham, Rainham Road",2.5,"G5HR+92","113 Rainham Rd, Rainham RM13 7Q",NA,NA
"Medina Pharmacy ","Medina Pharmacy Ltd",4.1,"G2QM+44","229 Plashet Rd, London E13 0Q",NA,NA
"Day Lewis Pharmacy Barkingside + Travel Cli","Day Lewis Pharmacy Barkingside + Travel Clinic",4.3,"H3JF+JQ","642 Cranbrook Rd, Ilford IG6 1H",NA,NA
"Ask A Pharmac","Ask A Pharmacist",NA,"H36J+GC","Redbridge Enterprise Centre, Mastermedicine Ltd, Unit 19, Ilford IG1 1T",NA,NA
"Day Lewis Pharmacy Forest G","Day Lewis Pharmacy Forest Gate",3.4,"G2VG+6H","79 Upton Ln, London E7 9P",NA,NA
"Tesco Esso Expr","Tesco Esso Express",3.3,"G4M4+96","Ripple Rd, Barking IG11 9P",NA,NA
"Greenfield Pharm","Greenfield Pharmacy",4.8,"JRW7+G9","Great N Rd, New Barnet, Barnet EN5 1E",NA,NA
"Mountford Pharm","Mountford Pharmacy",4.6,"MR2G+38","11 E Barnet Rd, New Barnet, Barnet EN4 8R",NA,NA
"Prima Pharm","Prima Pharmacy",4.1,"JQWP+V3","171 Bells Hill, Barnet EN5 2T",NA,NA
"Brand Russell Pharmacy & Barnet Travel Cli","Brand Russell Pharmacy & Barnet Travel Clinic",4.1,"JRVP+2M","280 E Barnet Rd, London, Barnet EN4 8T",NA,NA
"S V R Chem","S V R Chemist",3.7,"JRWM+R6","141, 147 E Barnet Rd, London, Barnet EN4 8Q",NA,NA
"Parry Jones Pharm","Parry Jones Pharmacy",4.6,"MQ3X+F7","61 High St, Chipping Barnet, Barnet EN5 5U",NA,NA
"PARKVIEW PHARMACY & TRAVEL CLINIC NORTH LONDON ENFIELD OAKWOOD SOUTHGATE BARNET TRAVEL N14 ","PARKVIEW PHARMACY & TRAVEL CLINIC NORTH LONDON ENFIELD OAKWOOD SOUTHGATE BARNET TRAVEL N14 4XA",4.8,"JVXC+JC","195 Bramley Rd, London N14 4X",NA,NA
"Sainsbur","Sainsbury's",3.9,"JRXH+PC","66 E Barnet Rd, London, Barnet EN4 8R",NA,NA
"Clair Turner Lyons down Barnet tomor","Clair Turner Lyons down Barnet tomorrow",NA,"MR2C+5H","20 Leicester Rd, Barnet EN5 5D",NA,NA
"Simmons Pharm","Simmons Pharmacy",3.5,"JVX2+CQ","111 Cockfosters Rd, Cockfosters, Barnet EN4 0D",NA,NA
"Barnet Hospi","Barnet Hospital",2.8,"MQ2P+54","Wellhouse Ln, Barnet EN5 3D",NA,NA
"Wilkinson Chem","Wilkinson Chemist",5,"MQ4X+J8","190 High St, Hadley, Barnet EN5 5S",NA,NA
"Numark Pharmac","Numark Pharmacist",1,"MP2W+V8","7 Howard Dr, Borehamwood WD6 2N",NA,NA
"Greena","Greenacre",4,"JVX2+GW","9 Station Parade, Barnet EN4 0D",NA,NA
"Feminine Pharm","Feminine Pharmacy",1,NA,"",NA,NA
"Bo","Boots",3.6,"MQ4X+49","142 High St, Hadley, Barnet EN5 5X",NA,NA
"Pyramid Pharmacy & Travel Cli","Pyramid Pharmacy & Travel Clinic",4.6,"JVW8+P3","73 Bramley Rd, London N14 4E",NA,NA
"LloydsPharm","LloydsPharmacy",2.6,"JR7R+23","209 Woodhouse Rd, London N12 9A",NA,NA
"Boots Pharm","Boots Pharmacy",3.7,"MQ4X+4C","142 High St, Hadley, Barnet EN5 5X",NA,NA
"Woodhouse Pharmacy & Travel Cli","Woodhouse Pharmacy & Travel Clinic",5,"JR7R+23","209 Woodhouse Rd, London N12 9A",NA,NA
"Woodhouse Pharmacy & Travel Cli","Woodhouse Pharmacy & Travel Clinic",5,"JR7R+23","209 Woodhouse Rd, London N12 9A",NA,NA
"Lipkin Chem","Lipkin Chemist",4.7,"JRJ9+5H","64 Totteridge Ln, London N20 8Q",NA,NA
"Bo","Boots",3.9,"JRJF+5P","1275 High Rd, London N20 9H",NA,NA
"Chase Farm Pharm","Chase Farm Pharmacy",2,"Amigable","Ground Floor, Chase Farm Hospital, 127 The Ridgeway, Enfield EN2 8J",NA,NA
"Chase Farm Pharm","Chase Farm Pharmacy",2,"Amigable","Ground Floor, Chase Farm Hospital, 127 The Ridgeway, Enfield EN2 8J",NA,NA
"Chase Farm Pharm","Chase Farm Pharmacy",2,"Amigable","Ground Floor, Chase Farm Hospital, 127 The Ridgeway, Enfield EN2 8J",NA,NA
"Hampden Square Pharmacy + Travel Clinic + Yellow Fever Cen","Hampden Square Pharmacy + Travel Clinic + Yellow Fever Centre",4,"JVJ4+WJ","14 Hampden Square, London N14 5J",NA,NA
"Green Light Pharmacy - Borehamw","Green Light Pharmacy - Borehamwood",4.8,"MP2Q+GF","148 Manor Way, Borehamwood WD6 1Q",NA,NA
"Green Light Pharmacy - Borehamw","Green Light Pharmacy - Borehamwood",4.8,"MP2Q+GF","148 Manor Way, Borehamwood WD6 1Q",NA,NA
"Oakleigh Pharmacy + Travel Clinic + Yellow Fever Cen","Oakleigh Pharmacy + Travel Clinic + Yellow Fever Centre",3.6,"JRGR+F6","253 Oakleigh Rd N, London N20 0T",NA,NA
"Clarins Simmons Pharmacy Bar","Clarins Simmons Pharmacy Barnet",NA,"JVX2+CQ","111 Cockfosters Rd, Barnet EN4 0D",NA,NA
"Chem","Chemist",5,"C5R2+V6","Bexley DA5 1L",NA,NA
"Warren Medipharm","Warren Medipharmacy",4.1,"C4RX+H4","24 Bexley High St, Bexley DA5 1A",NA,NA
"Osbon Pharmacy & Travel Cli","Osbon Pharmacy & Travel Clinic",4.3,"C5R2+V6","7, Bourne Parade, Bourne Rd, Bexley DA5 1L",NA,NA
"McQueen's Pharm","McQueen's Pharmacy",4.9,"C5MG+PV","B3, 3 Maplehurst Cl, Dartford DA2 7W",NA,NA
"Osbon Pharm","Osbon Pharmacy",4.1,"C4PG+99","24 Steynton Ave, Bexley DA5 3H",NA,NA
"Private Label Gym Suppleme","Private Label Gym Supplements",NA,"C5R2+J2","70 Bexley High St, Bexley DA5 1A",NA,NA
"Broadway Pharm","Broadway Pharmacy",4.4,"F44R+VP","172 Broadway, Bexleyheath DA6 7B",NA,NA
"Avery Pharmacy (Travel Vaccination & Weight Loss Clin","Avery Pharmacy (Travel Vaccination & Weight Loss Clinic)",4.9,"F32M+43","Eltham, 192 Bexley Rd, Avery Hill, London SE9 2P",NA,NA
"Bo","Boots",4.1,"F44W+76","33, The Mall, Broadway Shopping Centre, Bexleyheath DA6 7J",NA,NA
"Joydens Wood Pharm","Joydens Wood Pharmacy",4.6,"C5FC+CP","2, Birchwood parade, Woodside Dr, Dartford DA2 7N",NA,NA
"Bexley Vaccination Cli","Bexley Vaccination Clinic",5,"C5R2+V6","7 Bourne Rd, Bexley DA5 1L",NA,NA
"Feminine Pharm","Feminine Pharmacy",1,NA,"",NA,NA
"Buy Zopiclone Onl","Buy Zopiclone Online",5,"HPM5+2G","81 Lindsay Dr, Harrow HA3 0T",NA,NA
"McParland Pharm","McParland Pharmacy",2.4,"HQW4+V2","2 Heath Parade, Lanacre Avenue, Hendon Village NW9 5Z",NA,NA
"Brentmead Pharm","Brentmead Pharmacy",4.4,"GPWX+QP","136 Church Rd, London NW10 9N",NA,NA
"Sabel Chem","Sabel Chemist",3.8,"HQPH+JW","116 Brent St, London NW4 2D",NA,NA
"Pharmacy ","Pharmacy Nhs",4,"GQW2+X4","168 Church Rd, London NW10 9N",NA,NA
"Broadway Pharm","Broadway Pharmacy",3.8,"HQG6+VC","204 W Hendon Broadway, London NW9 7E",NA,NA
"Grossman Pharmacy & Travel Cli","Grossman Pharmacy & Travel Clinic",4.6,"HQ88+PF","6, Oxgate Court Parade, Coles Green Rd, London NW2 7E",NA,NA
"Heard Pharm","Heard Pharmacy",4.6,"HQPJ+55","94 Brent St, London NW4 2E",NA,NA
"Zaxgate Pharm","Zaxgate Pharmacy",3.9,"HQPJ+R3","Brent St, London NW4 2E",NA,NA
"Smart Care Pharm","Smart Care Pharmacy",3,"HP68+PM","110 Wembley Park Drive Wembley Park Wembley, Greater, London HA9 8H",NA,NA
"Leigh Pharmacy & Travel Cli","Leigh Pharmacy & Travel Clinic",3.8,"HPGQ+24","278 Church Ln, London NW9 8L",NA,NA
"Bo","Boots",4.1,"HQGF+PR","Shopping Centre, Brent Cross, Prince Charles Dr, London NW4 3F",NA,NA
"Signature Pharm","Signature Pharmacy",4.6,"GPFF+F2","Unit 9, Concord Business Centre, Concord Rd, London W3 0T",NA,NA
"Co-Op Pharm","Co-Op Pharmacy",5,"HPFP+FX","175 Church Ln, London NW9 8J",NA,NA
"Boots Pharm","Boots Pharmacy",5,"HQGG+JQ","Unit W1, Brent Cross Shopping Centre, Prince Charles Dr, Brent Cross, London NW4 3F",NA,NA
"Shri Pharmacy & Travel Cli","Shri Pharmacy & Travel Clinic",4.5,"HPMC+XP","511 Kingsbury Rd, London NW9 9E",NA,NA
"Wembley Pharm","Wembley Pharmacy",4.3,"GPR2+FV","Middlesex House, 183 Ealing Rd, Wembley HA0 4L",NA,NA
"Tesco Pharm","Tesco Pharmacy",3,"HP3V+HW","Great Central Way, Neasden, London NW10 0T",NA,NA
"Gimmack Pharmacy + Travel Clinic + Yellow Fever Cen","Gimmack Pharmacy + Travel Clinic + Yellow Fever Centre",4.3,"HQ4M+PP","177 Cricklewood Broadway, London NW2 3H",NA,NA
"The Hyde Pharm","The Hyde Pharmacy",3.8,"Amigable","213 Edgware Rd, London NW9 6L",NA,NA
"Frank Wreford Pharmacy & Travel Cli","Frank Wreford Pharmacy & Travel Clinic",4.1,"HQ52+G9","234 Neasden Ln, Neasden, London NW10 0A",NA,NA
"Health First Pharm","Health First Pharmacy",3.7,"HP68+QM","95 Wembley Park Dr, London HA9 8H",NA,NA
"John Wilson Chem","John Wilson Chemist",2.7,"HQJC+XG","19 Vivian Ave, London NW4 3U",NA,NA
"Globe Pharm","Globe Pharmacy",3.9,"HQ36+3F","78 Burnley Rd, Brent Park, London NW10 1E",NA,NA
"Craig Thomson Pharm","Craig Thomson Pharmacy",4.7,"GQXH+86","72 Walm Ln, London NW2 4R",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",4.2,"HP5X+X7","285 Neasden Ln, Brent Park, London NW10 1Q",NA,NA
"Churchills Pharm","Churchills Pharmacy",4.5,"HMMP+85","207 Kenton Rd, Harrow HA3 0H",NA,NA
"Hendon Pharm","Hendon Pharmacy",4.1,"HQM9+3V","52 Vivian Ave, London NW4 3X",NA,NA
"Day Lewis Pharmacy Kilburn High Rd + Travel Cli","Day Lewis Pharmacy Kilburn High Rd + Travel Clinic",3.1,"GQVX+9X","273 Kilburn High Rd, London NW6 7J",NA,NA
"Peace Pharm","Peace Pharmacy",4,"HP65+X3","14 The Broadway, Wembley HA9 8J",NA,NA
"Jade Pharmacy (Kingsbury) & Travel Cli","Jade Pharmacy (Kingsbury) & Travel Clinic",3.8,"HPMC+W9","533 Kingsbury Rd, Kingsbury Circle, London NW9 9E",NA,NA
"ASDA Pharm","ASDA Pharmacy",3.1,"HP7F+VP","Forty Ln, Wembley HA9 9E",NA,NA
"Jallas Pharm","Jallas Pharmacy",4.6,"GP9M+GJ","313 Horn Ln, London W3 0B",NA,NA
"Health Pharm","Health Pharmacy",4.6,"Amigable","122 Windermere Ave, Wembley HA9 8R",NA,NA
"Jade Pharmacy (Wembley) & Travel Cli","Jade Pharmacy (Wembley) & Travel Clinic",4.4,"GPV3+V5","204 Ealing Rd, Wembley HA0 4Q",NA,NA
"Jade Pharmacy (Wembley) & Travel Cli","Jade Pharmacy (Wembley) & Travel Clinic",4.4,"GPV3+V5","204 Ealing Rd, Wembley HA0 4Q",NA,NA
"Jade Pharmacy (Wembley) & Travel Cli","Jade Pharmacy (Wembley) & Travel Clinic",4.4,"GPV3+V5","204 Ealing Rd, Wembley HA0 4Q",NA,NA
"Catto Pharm","Catto Pharmacy",3.9,"GQP3+CG","79 High St, London NW10 4N",NA,NA
"Hyperchem Pharmacy & Travel Cli","Hyperchem Pharmacy & Travel Clinic",4.2,"GQMW+Q3","34 Salusbury Rd, London NW6 6N",NA,NA
"Click Health Pharmacy (West London) | Delivering Medicine in Minu","Click Health Pharmacy (West London) | Delivering Medicine in Minutes",4.3,"GMPM+HV","Sabichi House, London UB6 7J",NA,NA
"R & C Pharmacy - Travel, Weight Loss and Earwax Removal Cli","R & C Pharmacy - Travel, Weight Loss and Earwax Removal Clinic",4.8,"GQXG+5C","5A Walm Ln, London NW2 5S",NA,NA
"Rasons Pharm","Rasons Pharmacy",4.6,"HP37+6G","323 Harrow Rd, Wembley HA9 6B",NA,NA
